Interval=	0,001 s
ExcelDateTime=	4,6092614496418428e+004	11.03.2026 14:44:52,490552
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 3	Channel 4
Range=	5,000 mV	5,000 mV
0,543	-0,04246094	-0,05761838
0,544	-0,07632812	-0,0606273
0,545	-0,1208203	-0,0638033
0,546	-0,1200781	-0,06716622
0,547	-0,04878906	-0,07051985
0,548	0,01605469	-0,07390304
0,549	-0,009023438	-0,07728531
0,55	-0,04828125	-0,08062262
0,551	-0,04445313	-0,08385869
0,552	-0,05832031	-0,08692926
0,553	-0,05859375	-0,08980954
0,554	-0,0065625	-0,09232232
0,555	-0,01777344	-0,09448515
0,556	-0,1624219	-0,09627521
0,557	-0,2870703	-0,09767159
0,558	-0,2457422	-0,09865643
0,559	-0,13625	-0,09921855
0,56	-0,08132813	-0,09938972
0,561	-0,07929688	-0,09909874
0,562	-0,1053906	-0,09842711
0,563	-0,1264063	-0,0974286
0,564	-0,1245703	-0,09615944
0,565	-0,0990625	-0,09467825
0,566	-0,06386719	-0,09304788
0,567	-0,05222656	-0,0913564
0,568	-0,07058594	-0,08962714
0,569	-0,1064453	-0,08796855
0,57	-0,1285156	-0,0864601
0,571	-0,1059766	-0,08516958
0,572	-0,05792969	-0,08415209
0,573	-0,01890625	-0,08345022
0,574	-0,01917969	-0,08309792
0,575	-0,0690625	-0,08310828
0,576	-0,1089453	-0,08350367
0,577	-0,09785156	-0,08428568
0,578	-0,0678125	-0,08543837
0,579	-0,05902344	-0,08692741
0,58	-0,08367188	-0,0887001
0,581	-0,08652344	-0,09067862
0,582	-0,04285156	-0,09281088
0,583	-0,01988281	-0,09501586
0,584	-0,02828125	-0,09721654
0,585	-0,06410156	-0,09933276
0,586	-0,1571875	-0,1012811
0,587	-0,2369141	-0,1029759
0,588	-0,2336328	-0,1043226
0,589	-0,1485938	-0,1052752
0,59	-0,03535156	-0,1057709
0,591	-0,03410156	-0,1057694
0,592	-0,1596484	-0,1052436
0,593	-0,2642578	-0,1041803
0,594	-0,2525391	-0,1025809
0,595	-0,1542969	-0,1004604
0,596	-0,06203125	-0,09786923
0,597	0,003984375	-0,09485993
0,598	0,0459375	-0,09149908
0,599	0,02054687	-0,08786236
0,6	-0,04824219	-0,08403458
0,601	-0,09453125	-0,08010994
0,602	-0,09757813	-0,07618762
0,603	-0,06148438	-0,07238644
0,604	-0,02125	-0,06880304
0,605	-0,01917969	-0,06552892
0,606	-0,05097656	-0,06264544
0,607	-0,08894531	-0,06022332
0,608	-0,09558594	-0,05832168
0,609	-0,07726563	-0,0569723
0,61	-0,07898437	-0,05624413
0,611	-0,07238281	-0,05612906
0,612	-0,05726563	-0,05661601
0,613	-0,08335937	-0,05767733
0,614	-0,1000391	-0,0592681
0,615	-0,07214844	-0,06132466
0,616	-0,04738281	-0,06374057
0,617	-0,0446875	-0,06648628
0,618	-0,05363281	-0,06943079
0,619	-0,06144531	-0,07246616
0,62	-0,06144531	-0,07548512
0,621	-0,0675	-0,07838043
0,622	-0,08585938	-0,0810441
0,623	-0,08964844	-0,08334924
0,624	-0,08792969	-0,08525261
0,625	-0,1119141	-0,0866501
0,626	-0,1153906	-0,08747586
0,627	-0,07460938	-0,08768352
0,628	-0,05179687	-0,08724604
0,629	-0,06371094	-0,08615587
0,63	-0,08445313	-0,08442305
0,631	-0,1092969	-0,08208889
0,632	-0,1182813	-0,07919969
0,633	-0,1066797	-0,07581952
0,634	-0,09511719	-0,07202714
0,635	-0,07492187	-0,06791668
0,636	-0,04132813	-0,06359823
0,637	-0,02472656	-0,0592059
0,638	-0,0475	-0,05484118
0,639	-0,07492187	-0,050632
0,64	-0,04816406	-0,04668966
0,641	0,02054687	-0,0431179
0,642	0,05273438	-0,0400142
0,643	0,01140625	-0,03746986
0,644	-0,04445313	-0,0355717
0,645	-0,05941406	-0,03436845
0,646	-0,07089844	-0,03389535
0,647	-0,08800781	-0,03416481
0,648	-0,06449219	-0,03517142
